t1;t2;t3;t4;t5;;;;;;;;;;;;;;
35;40;18;29;31;-0,5;;;;;;;;;;;;;-0,5
35;40;19;29;31;0;;;;;;;;;;;;;0
35;39;18;29;30;0;;;;;;;;;;;;;0
35;39;18;28;30;0;;;;;;;;;;;;;0
35;40;18;29;31;-0,5;;;;;;;;;;;;;-0,5
34;40;18;29;30;0,5;;;;;;;;;;;;;0,5
35;40;18;29;31;0,5;;;;;;;;;;;;;0,5
35;40;18;29;31;0;;;;;;;;;;;;;0
35;40;18;29;31;0;;;;;;;;;;;;;0
35;40;18;29;31;0;;;;;;;;;;;;;0
34;40;18;29;30;0;;;;;;;;;;;;;0
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0,5;;;;;;;;;;;;;0,5
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0;;;;;;;;;;;;;0
34;40;19;29;31;0;;;;;;;;;;;;;0
34;40;19;29;31;-0,5;;;;;;;;;;;;;-0,5
34;40;19;29;31;0,5;;;;;;;;;;;;;0,5
34;40;19;29;31;0,5;;;;;;;;;;;;;0,5
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;18;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0,707106781;;;;;;;;;;;;;0,707106781
35;40;19;28;31;-0,707106781;;;;;;;;;;;;;-0,707106781
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;-0,707106781;;;;;;;;;;;;;-0,707106781
35;40;19;29;31;0;;;;;;;;;;;;;0
34;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;-0,707106781;;;;;;;;;;;;;-0,707106781
35;40;19;29;31;0;;;;;;;;;;;;;0
35;40;19;29;31;0;;;;;;;;;;;;;0
34;40;18;29;30;0;;;;;;;;;;;;;0
34;40;19;29;31;0;;;;;;;;;;;;;0
34;40;19;28;30;0;;;;;;;;;;;;;0
